review_id,order_id,product_id,rating,review_text,review_time,duygu,guven,yildiz,compound
1,4,1157,2,Not great quality.,2022-02-01,negative,0.754,1,-0.5096
2,7,405,4,Good value for money!,2020-03-07,positive,0.822,5,0.68
3,7,487,5,"Excellent product, highly recommend!",2024-12-26,positive,0.861,5,0.7773
4,7,442,5,"Excellent product, highly recommend!",2021-03-18,positive,0.861,5,0.7773
5,7,348,4,Good value for money!,2025-09-30,positive,0.822,5,0.68
6,23,1018,4,Good value for money!,2021-12-11,positive,0.822,5,0.68
7,33,769,2,Not great quality.,2021-06-04,negative,0.754,1,-0.5096
8,36,602,4,Good value for money!,2025-07-10,positive,0.822,5,0.68
9,36,351,5,"Excellent product, highly recommend!",2020-05-08,positive,0.861,5,0.7773
10,49,501,3,Okay overall.,2023-02-12,neutral,0.641,3,0.2263
11,50,535,5,"Excellent product, highly recommend!",2022-05-05,positive,0.861,5,0.7773
12,52,466,4,Good value for money!,2023-11-06,positive,0.822,5,0.68
13,52,198,5,"Excellent product, highly recommend!",2021-11-15,positive,0.861,5,0.7773
14,52,458,5,"Excellent product, highly recommend!",2025-09-16,positive,0.861,5,0.7773
15,52,277,5,"Excellent product, highly recommend!",2021-12-05,positive,0.861,5,0.7773
16,54,177,2,Not great quality.,2021-10-02,negative,0.754,1,-0.5096
17,54,259,4,Good value for money!,2024-09-23,positive,0.822,5,0.68
18,60,458,4,Good value for money!,2022-12-10,positive,0.822,5,0.68
19,60,1009,5,"Excellent product, highly recommend!",2024-09-18,positive,0.861,5,0.7773
20,60,284,3,Okay overall.,2025-04-03,neutral,0.641,3,0.2263
21,60,892,5,"Excellent product, highly recommend!",2021-12-14,positive,0.861,5,0.7773
22,63,977,3,Okay overall.,2022-07-04,neutral,0.641,3,0.2263
23,65,732,5,"Excellent product, highly recommend!",2020-03-27,positive,0.861,5,0.7773
24,67,10,5,"Excellent product, highly recommend!",2021-01-19,positive,0.861,5,0.7773
25,68,907,3,Okay overall.,2021-04-12,neutral,0.641,3,0.2263
26,68,913,3,Okay overall.,2024-07-17,neutral,0.641,3,0.2263
27,75,1171,5,"Excellent product, highly recommend!",2023-11-28,positive,0.861,5,0.7773
28,75,1163,3,Okay overall.,2023-12-12,neutral,0.641,3,0.2263
29,75,1053,5,"Excellent product, highly recommend!",2020-05-06,positive,0.861,5,0.7773
30,75,1014,5,"Excellent product, highly recommend!",2020-02-08,positive,0.861,5,0.7773
31,80,973,4,Good value for money!,2023-09-16,positive,0.822,5,0.68
32,84,563,5,"Excellent product, highly recommend!",2023-07-24,positive,0.861,5,0.7773
33,86,200,3,Okay overall.,2023-07-29,neutral,0.641,3,0.2263
34,86,291,4,Good value for money!,2020-01-05,positive,0.822,5,0.68
35,86,249,1,"Very disappointed, would not buy again.",2023-06-08,negative,0.76,1,-0.5256
36,100,932,5,"Excellent product, highly recommend!",2022-09-14,positive,0.861,5,0.7773
37,100,1041,4,Good value for money!,2023-09-06,positive,0.822,5,0.68
38,103,861,1,"Very disappointed, would not buy again.",2023-01-13,negative,0.76,1,-0.5256
39,106,891,5,"Excellent product, highly recommend!",2022-09-14,positive,0.861,5,0.7773
40,115,855,5,"Excellent product, highly recommend!",2025-01-09,positive,0.861,5,0.7773
41,115,685,4,Good value for money!,2025-04-23,positive,0.822,5,0.68
42,115,333,4,Good value for money!,2023-08-29,positive,0.822,5,0.68
43,121,109,4,Good value for money!,2023-03-09,positive,0.822,5,0.68
44,121,132,4,Good value for money!,2024-06-06,positive,0.822,5,0.68
45,122,258,5,"Excellent product, highly recommend!",2023-06-17,positive,0.861,5,0.7773
46,130,1104,3,Okay overall.,2021-11-28,neutral,0.641,3,0.2263
47,137,1017,5,"Excellent product, highly recommend!",2023-06-18,positive,0.861,5,0.7773
48,137,404,5,"Excellent product, highly recommend!",2025-08-26,positive,0.861,5,0.7773
49,138,1096,3,Okay overall.,2023-03-06,neutral,0.641,3,0.2263
50,138,369,4,Good value for money!,2020-02-21,positive,0.822,5,0.68
51,156,8,4,Good value for money!,2025-06-03,positive,0.822,5,0.68
52,158,217,5,"Excellent product, highly recommend!",2023-01-18,positive,0.861,5,0.7773
53,165,942,3,Okay overall.,2020-12-20,neutral,0.641,3,0.2263
54,166,783,4,Good value for money!,2024-02-06,positive,0.822,5,0.68
55,166,769,2,Not great quality.,2024-12-03,negative,0.754,1,-0.5096
56,170,1007,4,Good value for money!,2022-04-02,positive,0.822,5,0.68
57,170,890,3,Okay overall.,2025-05-31,neutral,0.641,3,0.2263
58,173,987,5,"Excellent product, highly recommend!",2020-06-18,positive,0.861,5,0.7773
59,173,514,4,Good value for money!,2024-05-04,positive,0.822,5,0.68
60,174,1144,4,Good value for money!,2020-03-13,positive,0.822,5,0.68
61,181,173,4,Good value for money!,2021-11-05,positive,0.822,5,0.68
62,181,659,3,Okay overall.,2020-09-15,neutral,0.641,3,0.2263
63,181,436,3,Okay overall.,2022-01-14,neutral,0.641,3,0.2263
64,187,845,5,"Excellent product, highly recommend!",2021-02-10,positive,0.861,5,0.7773
65,187,728,4,Good value for money!,2022-04-18,positive,0.822,5,0.68
66,188,675,3,Okay overall.,2022-07-16,neutral,0.641,3,0.2263
67,188,879,5,"Excellent product, highly recommend!",2020-06-04,positive,0.861,5,0.7773
68,188,309,4,Good value for money!,2020-05-27,positive,0.822,5,0.68
69,188,1022,4,Good value for money!,2023-04-05,positive,0.822,5,0.68
70,191,494,5,"Excellent product, highly recommend!",2021-09-09,positive,0.861,5,0.7773
71,194,371,5,"Excellent product, highly recommend!",2024-04-25,positive,0.861,5,0.7773
72,194,563,5,"Excellent product, highly recommend!",2022-06-18,positive,0.861,5,0.7773
73,194,51,4,Good value for money!,2022-07-07,positive,0.822,5,0.68
74,195,979,3,Okay overall.,2024-09-19,neutral,0.641,3,0.2263
75,195,678,5,"Excellent product, highly recommend!",2024-11-01,positive,0.861,5,0.7773
76,195,313,5,"Excellent product, highly recommend!",2022-12-28,positive,0.861,5,0.7773
77,207,142,5,"Excellent product, highly recommend!",2021-06-29,positive,0.861,5,0.7773
78,207,653,5,"Excellent product, highly recommend!",2025-10-19,positive,0.861,5,0.7773
79,211,386,4,Good value for money!,2024-06-23,positive,0.822,5,0.68
80,211,371,3,Okay overall.,2022-08-23,neutral,0.641,3,0.2263
81,211,429,4,Good value for money!,2020-03-11,positive,0.822,5,0.68
82,216,173,2,Not great quality.,2021-09-01,negative,0.754,1,-0.5096
83,216,1177,4,Good value for money!,2021-11-17,positive,0.822,5,0.68
84,217,1193,4,Good value for money!,2023-09-07,positive,0.822,5,0.68
85,223,468,4,Good value for money!,2021-03-28,positive,0.822,5,0.68
86,225,203,5,"Excellent product, highly recommend!",2022-08-21,positive,0.861,5,0.7773
87,233,911,3,Okay overall.,2022-03-03,neutral,0.641,3,0.2263
88,233,896,3,Okay overall.,2023-09-24,neutral,0.641,3,0.2263
89,244,949,3,Okay overall.,2022-12-08,neutral,0.641,3,0.2263
90,244,981,4,Good value for money!,2024-09-11,positive,0.822,5,0.68
91,261,455,4,Good value for money!,2025-09-12,positive,0.822,5,0.68
92,261,971,5,"Excellent product, highly recommend!",2021-12-07,positive,0.861,5,0.7773
93,269,773,4,Good value for money!,2025-09-17,positive,0.822,5,0.68
94,269,731,5,"Excellent product, highly recommend!",2025-03-21,positive,0.861,5,0.7773
95,269,748,5,"Excellent product, highly recommend!",2025-07-20,positive,0.861,5,0.7773
96,269,853,5,"Excellent product, highly recommend!",2025-02-04,positive,0.861,5,0.7773
97,276,555,2,Not great quality.,2021-03-21,negative,0.754,1,-0.5096
98,279,1126,3,Okay overall.,2020-01-17,neutral,0.641,3,0.2263
99,279,1099,4,Good value for money!,2025-02-21,positive,0.822,5,0.68
100,283,1173,5,"Excellent product, highly recommend!",2020-05-04,positive,0.861,5,0.7773
101,285,457,4,Good value for money!,2023-10-25,positive,0.822,5,0.68
102,300,1177,3,Okay overall.,2024-01-22,neutral,0.641,3,0.2263
103,305,1161,3,Okay overall.,2021-06-01,neutral,0.641,3,0.2263
104,305,535,5,"Excellent product, highly recommend!",2021-03-24,positive,0.861,5,0.7773
105,305,417,2,Not great quality.,2023-04-19,negative,0.754,1,-0.5096
106,310,294,5,"Excellent product, highly recommend!",2023-10-06,positive,0.861,5,0.7773
107,310,244,4,Good value for money!,2023-12-05,positive,0.822,5,0.68
108,325,462,4,Good value for money!,2021-06-20,positive,0.822,5,0.68
109,326,596,3,Okay overall.,2020-12-29,neutral,0.641,3,0.2263
110,328,341,4,Good value for money!,2025-08-24,positive,0.822,5,0.68
111,334,1096,3,Okay overall.,2025-03-13,neutral,0.641,3,0.2263
112,337,282,5,"Excellent product, highly recommend!",2021-04-16,positive,0.861,5,0.7773
113,337,1119,5,"Excellent product, highly recommend!",2023-02-17,positive,0.861,5,0.7773
114,337,677,1,"Very disappointed, would not buy again.",2021-12-17,negative,0.76,1,-0.5256
115,337,997,4,Good value for money!,2022-08-28,positive,0.822,5,0.68
116,338,1140,4,Good value for money!,2024-01-03,positive,0.822,5,0.68
117,338,504,1,"Very disappointed, would not buy again.",2021-10-03,negative,0.76,1,-0.5256
118,338,376,2,Not great quality.,2020-06-11,negative,0.754,1,-0.5096
119,338,496,3,Okay overall.,2020-09-06,neutral,0.641,3,0.2263
120,340,869,5,"Excellent product, highly recommend!",2022-06-20,positive,0.861,5,0.7773
121,340,381,4,Good value for money!,2023-09-28,positive,0.822,5,0.68
122,340,451,2,Not great quality.,2020-08-21,negative,0.754,1,-0.5096
123,340,271,5,"Excellent product, highly recommend!",2023-08-06,positive,0.861,5,0.7773
124,341,265,5,"Excellent product, highly recommend!",2022-08-04,positive,0.861,5,0.7773
125,341,1159,4,Good value for money!,2025-10-01,positive,0.822,5,0.68
126,341,984,3,Okay overall.,2023-01-15,neutral,0.641,3,0.2263
127,345,38,5,"Excellent product, highly recommend!",2023-06-04,positive,0.861,5,0.7773
128,352,1049,1,"Very disappointed, would not buy again.",2023-12-16,negative,0.76,1,-0.5256
129,352,1098,4,Good value for money!,2023-10-20,positive,0.822,5,0.68
130,361,823,5,"Excellent product, highly recommend!",2022-11-11,positive,0.861,5,0.7773
131,362,1077,5,"Excellent product, highly recommend!",2022-10-14,positive,0.861,5,0.7773
132,365,948,5,"Excellent product, highly recommend!",2020-01-25,positive,0.861,5,0.7773
133,365,509,5,"Excellent product, highly recommend!",2023-05-13,positive,0.861,5,0.7773
134,375,413,5,"Excellent product, highly recommend!",2023-01-15,positive,0.861,5,0.7773
135,375,891,3,Okay overall.,2023-09-07,neutral,0.641,3,0.2263
136,376,279,5,"Excellent product, highly recommend!",2022-05-25,positive,0.861,5,0.7773
137,376,402,4,Good value for money!,2021-03-17,positive,0.822,5,0.68
138,385,946,2,Not great quality.,2025-07-19,negative,0.754,1,-0.5096
139,385,103,3,Okay overall.,2021-12-30,neutral,0.641,3,0.2263
140,385,583,4,Good value for money!,2024-08-10,positive,0.822,5,0.68
141,402,514,5,"Excellent product, highly recommend!",2024-07-15,positive,0.861,5,0.7773
142,404,314,3,Okay overall.,2022-06-02,neutral,0.641,3,0.2263
143,410,438,4,Good value for money!,2021-10-05,positive,0.822,5,0.68
144,410,196,5,"Excellent product, highly recommend!",2023-05-28,positive,0.861,5,0.7773
145,411,890,3,Okay overall.,2024-03-21,neutral,0.641,3,0.2263
146,411,874,4,Good value for money!,2024-09-13,positive,0.822,5,0.68
147,455,184,4,Good value for money!,2023-08-26,positive,0.822,5,0.68
148,459,999,3,Okay overall.,2024-12-05,neutral,0.641,3,0.2263
149,466,1170,3,Okay overall.,2021-09-12,neutral,0.641,3,0.2263
150,466,446,4,Good value for money!,2022-07-25,positive,0.822,5,0.68
151,481,380,4,Good value for money!,2021-10-01,positive,0.822,5,0.68
152,482,557,3,Okay overall.,2022-02-05,neutral,0.641,3,0.2263
153,482,1105,4,Good value for money!,2025-09-04,positive,0.822,5,0.68
154,482,429,5,"Excellent product, highly recommend!",2023-06-24,positive,0.861,5,0.7773
155,497,1028,5,"Excellent product, highly recommend!",2022-04-18,positive,0.861,5,0.7773
156,501,1142,4,Good value for money!,2025-04-18,positive,0.822,5,0.68
157,501,901,3,Okay overall.,2022-09-08,neutral,0.641,3,0.2263
158,505,114,4,Good value for money!,2022-01-06,positive,0.822,5,0.68
159,525,695,3,Okay overall.,2023-04-06,neutral,0.641,3,0.2263
160,525,296,3,Okay overall.,2022-01-10,neutral,0.641,3,0.2263
161,528,344,4,Good value for money!,2024-10-13,positive,0.822,5,0.68
162,535,402,5,"Excellent product, highly recommend!",2024-04-19,positive,0.861,5,0.7773
163,537,385,1,"Very disappointed, would not buy again.",2022-01-01,negative,0.76,1,-0.5256
164,542,498,5,"Excellent product, highly recommend!",2024-01-31,positive,0.861,5,0.7773
165,542,465,4,Good value for money!,2020-10-18,positive,0.822,5,0.68
166,546,358,4,Good value for money!,2021-11-18,positive,0.822,5,0.68
167,548,1095,2,Not great quality.,2023-07-05,negative,0.754,1,-0.5096
168,548,967,5,"Excellent product, highly recommend!",2020-02-01,positive,0.861,5,0.7773
169,548,528,5,"Excellent product, highly recommend!",2024-07-16,positive,0.861,5,0.7773
170,553,1187,5,"Excellent product, highly recommend!",2022-09-21,positive,0.861,5,0.7773
171,553,191,3,Okay overall.,2024-08-24,neutral,0.641,3,0.2263
172,554,287,4,Good value for money!,2021-07-09,positive,0.822,5,0.68
173,554,333,5,"Excellent product, highly recommend!",2023-02-17,positive,0.861,5,0.7773
174,563,1026,3,Okay overall.,2021-09-29,neutral,0.641,3,0.2263
175,563,1039,5,"Excellent product, highly recommend!",2021-07-20,positive,0.861,5,0.7773
176,566,1017,5,"Excellent product, highly recommend!",2023-01-23,positive,0.861,5,0.7773
177,572,510,3,Okay overall.,2022-04-05,neutral,0.641,3,0.2263
178,572,386,4,Good value for money!,2020-06-13,positive,0.822,5,0.68
179,577,731,4,Good value for money!,2024-09-15,positive,0.822,5,0.68
180,577,416,3,Okay overall.,2023-12-25,neutral,0.641,3,0.2263
181,578,950,5,"Excellent product, highly recommend!",2023-07-13,positive,0.861,5,0.7773
182,587,646,4,Good value for money!,2024-02-29,positive,0.822,5,0.68
183,587,1086,4,Good value for money!,2021-06-06,positive,0.822,5,0.68
184,615,225,3,Okay overall.,2023-06-01,neutral,0.641,3,0.2263
185,615,492,4,Good value for money!,2021-03-12,positive,0.822,5,0.68
186,615,907,4,Good value for money!,2025-02-09,positive,0.822,5,0.68
187,615,828,4,Good value for money!,2024-03-24,positive,0.822,5,0.68
188,620,975,3,Okay overall.,2020-12-31,neutral,0.641,3,0.2263
189,620,978,4,Good value for money!,2020-11-08,positive,0.822,5,0.68
190,620,866,5,"Excellent product, highly recommend!",2024-11-24,positive,0.861,5,0.7773
191,620,879,5,"Excellent product, highly recommend!",2022-11-26,positive,0.861,5,0.7773
192,623,1197,4,Good value for money!,2021-03-31,positive,0.822,5,0.68
193,623,1035,4,Good value for money!,2021-03-04,positive,0.822,5,0.68
194,629,217,4,Good value for money!,2022-12-18,positive,0.822,5,0.68
195,629,528,5,"Excellent product, highly recommend!",2025-04-29,positive,0.861,5,0.7773
196,629,528,4,Good value for money!,2022-06-19,positive,0.822,5,0.68
197,629,683,4,Good value for money!,2024-11-04,positive,0.822,5,0.68
198,630,1010,5,"Excellent product, highly recommend!",2023-06-13,positive,0.861,5,0.7773
199,630,332,3,Okay overall.,2020-12-21,neutral,0.641,3,0.2263
200,630,142,5,"Excellent product, highly recommend!",2024-04-10,positive,0.861,5,0.7773
201,637,163,5,"Excellent product, highly recommend!",2021-12-03,positive,0.861,5,0.7773
202,637,409,5,"Excellent product, highly recommend!",2022-03-22,positive,0.861,5,0.7773
203,640,493,4,Good value for money!,2022-09-05,positive,0.822,5,0.68
204,640,463,3,Okay overall.,2020-04-15,neutral,0.641,3,0.2263
205,653,1013,5,"Excellent product, highly recommend!",2022-06-02,positive,0.861,5,0.7773
206,660,611,4,Good value for money!,2025-07-18,positive,0.822,5,0.68
207,660,312,4,Good value for money!,2023-12-21,positive,0.822,5,0.68
208,664,391,5,"Excellent product, highly recommend!",2020-07-31,positive,0.861,5,0.7773
209,664,436,5,"Excellent product, highly recommend!",2021-11-23,positive,0.861,5,0.7773
210,664,402,4,Good value for money!,2023-06-18,positive,0.822,5,0.68
