customer_id,category,quantity
1,Beauty,3
2,Sports,1
2,Toys,1
3,Electronics,1
4,Beauty,4
4,Books,1
5,Beauty,1
5,Fashion,1
5,Home & Kitchen,2
6,Beauty,1
6,Fashion,1
6,Home & Kitchen,2
6,Toys,3
7,Beauty,1
7,Books,1
8,Home & Kitchen,4
9,Electronics,1
10,Beauty,1
10,Books,1
10,Home & Kitchen,3
10,Sports,1
10,Toys,1
12,Books,3
12,Electronics,3
14,Beauty,1
14,Home & Kitchen,2
14,Toys,1
15,Toys,2
16,Electronics,4
17,Books,1
17,Fashion,2
17,Home & Kitchen,2
17,Sports,4
18,Books,7
18,Electronics,1
18,Fashion,5
18,Toys,1
19,Beauty,2
19,Books,1
19,Sports,2
19,Toys,3
20,Books,3
20,Fashion,1
20,Sports,3
22,Electronics,1
22,Toys,1
23,Home & Kitchen,2
25,Electronics,2
25,Home & Kitchen,1
26,Beauty,1
27,Sports,2
27,Toys,2
28,Fashion,1
29,Books,1
30,Beauty,3
30,Home & Kitchen,3
31,Beauty,1
31,Electronics,1
32,Home & Kitchen,1
34,Books,5
34,Fashion,1
34,Home & Kitchen,2
34,Toys,3
35,Beauty,1
35,Books,1
35,Fashion,4
35,Home & Kitchen,2
35,Sports,1
36,Books,1
36,Sports,1
36,Toys,5
37,Electronics,1
37,Home & Kitchen,1
37,Toys,5
39,Beauty,1
39,Books,1
39,Fashion,3
40,Books,5
40,Electronics,1
40,Fashion,1
40,Home & Kitchen,1
40,Sports,6
40,Toys,1
42,Books,2
43,Beauty,2
43,Books,1
43,Electronics,2
45,Beauty,2
45,Toys,5
46,Books,1
46,Home & Kitchen,1
48,Fashion,3
48,Toys,2
49,Beauty,1
49,Books,1
49,Electronics,3
49,Home & Kitchen,1
49,Sports,2
50,Fashion,1
51,Beauty,1
51,Books,2
51,Fashion,2
51,Home & Kitchen,1
51,Toys,2
52,Books,1
52,Toys,5
54,Beauty,1
54,Books,2
54,Fashion,1
55,Books,2
55,Fashion,2
56,Books,1
56,Fashion,1
56,Sports,1
56,Toys,3
57,Home & Kitchen,1
58,Beauty,1
58,Books,1
58,Home & Kitchen,1
58,Sports,1
58,Toys,1
59,Books,2
59,Home & Kitchen,3
60,Beauty,4
60,Books,1
60,Fashion,1
61,Beauty,1
61,Books,2
61,Electronics,1
61,Home & Kitchen,1
61,Sports,1
62,Beauty,3
62,Books,1
62,Fashion,1
63,Fashion,2
64,Books,1
65,Home & Kitchen,1
65,Sports,1
66,Beauty,1
66,Electronics,1
66,Toys,1
68,Books,3
68,Toys,3
69,Beauty,5
69,Books,2
69,Sports,1
70,Books,1
70,Home & Kitchen,1
70,Toys,1
72,Books,1
72,Toys,4
73,Beauty,1
73,Fashion,4
74,Beauty,1
74,Books,2
74,Fashion,2
74,Sports,1
74,Toys,4
75,Electronics,3
75,Sports,3
76,Beauty,2
76,Fashion,1
76,Home & Kitchen,2
78,Beauty,1
78,Sports,3
79,Beauty,3
79,Electronics,1
79,Home & Kitchen,2
80,Beauty,1
80,Books,2
80,Home & Kitchen,2
80,Toys,1
81,Beauty,1
81,Books,9
81,Home & Kitchen,1
82,Books,1
85,Home & Kitchen,1
86,Home & Kitchen,6
91,Books,1
91,Electronics,1
91,Home & Kitchen,2
91,Sports,2
91,Toys,1
92,Beauty,1
92,Books,5
92,Fashion,1
92,Sports,1
92,Toys,2
93,Beauty,1
93,Toys,1
94,Home & Kitchen,1
94,Sports,1
95,Beauty,1
95,Fashion,2
95,Sports,1
95,Toys,1
97,Books,1
97,Sports,1
97,Toys,1
98,Toys,2
99,Beauty,5
99,Books,4
99,Electronics,1
99,Toys,1
100,Beauty,2
100,Books,7
100,Toys,1
101,Beauty,9
101,Sports,1
101,Toys,1
102,Beauty,3
102,Fashion,2
102,Toys,1
103,Sports,1
104,Home & Kitchen,1
104,Toys,3
105,Beauty,1
105,Books,1
105,Home & Kitchen,1
105,Toys,3
106,Books,1
106,Toys,2
107,Fashion,4
107,Home & Kitchen,1
107,Sports,2
107,Toys,1
108,Beauty,2
108,Books,2
108,Toys,5
109,Electronics,4
110,Books,1
112,Toys,1
113,Home & Kitchen,1
114,Home & Kitchen,1
117,Beauty,9
117,Sports,4
117,Toys,2
118,Beauty,3
118,Books,5
118,Home & Kitchen,1
120,Books,4
120,Sports,1
120,Toys,1
121,Fashion,4
123,Books,1
123,Home & Kitchen,1
123,Toys,2
124,Beauty,1
124,Electronics,1
127,Beauty,1
127,Sports,4
127,Toys,5
128,Beauty,1
128,Books,5
128,Toys,1
129,Beauty,1
129,Home & Kitchen,2
129,Toys,1
130,Books,2
130,Toys,1
133,Toys,2
134,Home & Kitchen,3
135,Books,1
138,Toys,1
140,Sports,1
141,Books,9
141,Home & Kitchen,1
141,Sports,1
141,Toys,1
142,Beauty,6
142,Electronics,1
143,Beauty,1
143,Books,1
143,Home & Kitchen,2
143,Sports,1
144,Home & Kitchen,1
144,Toys,1
146,Beauty,4
146,Books,1
146,Fashion,3
146,Home & Kitchen,1
146,Toys,1
147,Beauty,4
147,Fashion,1
147,Home & Kitchen,1
147,Toys,6
148,Home & Kitchen,3
149,Beauty,1
149,Home & Kitchen,3
150,Books,1
150,Sports,1
151,Electronics,1
151,Toys,1
152,Beauty,1
152,Books,1
152,Toys,2
154,Books,1
154,Electronics,1
154,Fashion,1
154,Toys,2
155,Books,1
156,Books,5
157,Sports,2
158,Sports,1
160,Books,2
160,Sports,1
160,Toys,2
161,Electronics,6
161,Toys,1
162,Beauty,3
162,Books,1
163,Fashion,1
163,Home & Kitchen,2
164,Books,2
164,Home & Kitchen,1
164,Toys,1
165,Books,2
165,Fashion,1
165,Sports,2
165,Toys,5
166,Beauty,1
166,Electronics,1
166,Sports,3
167,Books,1
167,Electronics,1
167,Toys,1
169,Electronics,3
169,Toys,1
171,Books,1
171,Electronics,1
171,Fashion,1
172,Beauty,1
172,Books,1
172,Electronics,5
172,Fashion,1
172,Toys,1
173,Beauty,2
173,Books,2
173,Fashion,1
173,Home & Kitchen,3
173,Sports,1
173,Toys,1
174,Home & Kitchen,2
174,Sports,3
175,Beauty,2
175,Books,2
175,Electronics,2
175,Fashion,3
175,Home & Kitchen,1
175,Toys,2
176,Sports,3
177,Beauty,1
177,Books,3
178,Books,1
178,Electronics,1
179,Beauty,1
179,Books,3
179,Fashion,1
180,Electronics,1
181,Beauty,10
181,Sports,3
182,Home & Kitchen,2
183,Beauty,4
183,Books,1
183,Home & Kitchen,1
184,Home & Kitchen,1
185,Beauty,2
185,Electronics,2
185,Fashion,1
185,Home & Kitchen,1
186,Books,1
186,Fashion,4
187,Books,1
187,Fashion,2
187,Toys,4
188,Home & Kitchen,4
188,Sports,2
189,Beauty,1
189,Fashion,2
189,Sports,2
190,Sports,1
191,Home & Kitchen,2
192,Sports,1
193,Books,10
193,Home & Kitchen,1
193,Toys,3
194,Beauty,1
194,Toys,1
196,Home & Kitchen,1
196,Sports,1
196,Toys,1
197,Books,2
197,Fashion,1
198,Home & Kitchen,4
199,Beauty,1
199,Toys,3
200,Beauty,1
200,Electronics,1
200,Toys,1
201,Home & Kitchen,1
202,Fashion,1
202,Sports,4
203,Beauty,1
203,Books,1
204,Books,1
204,Fashion,1
205,Beauty,1
205,Fashion,1
205,Home & Kitchen,1
205,Toys,1
206,Books,1
206,Electronics,3
207,Electronics,3
207,Sports,1
208,Books,5
208,Home & Kitchen,1
209,Beauty,4
209,Fashion,1
210,Sports,3
210,Toys,1
211,Beauty,1
211,Books,2
211,Fashion,1
212,Books,1
212,Fashion,1
214,Books,4
214,Toys,9
215,Beauty,1
215,Fashion,1
215,Sports,1
216,Books,1
216,Electronics,1
216,Sports,1
218,Beauty,1
218,Electronics,1
218,Sports,1
219,Toys,2
221,Books,1
222,Books,6
223,Beauty,1
223,Books,3
223,Sports,1
223,Toys,2
224,Beauty,1
225,Beauty,2
225,Fashion,1
226,Books,5
226,Fashion,2
227,Fashion,1
228,Books,1
228,Fashion,1
228,Sports,1
228,Toys,2
229,Books,3
231,Toys,1
233,Electronics,2
233,Home & Kitchen,2
234,Books,1
235,Sports,1
235,Toys,1
236,Books,2
236,Home & Kitchen,5
236,Sports,1
236,Toys,1
237,Books,4
237,Electronics,1
237,Fashion,4
237,Toys,2
238,Beauty,1
238,Electronics,1
238,Fashion,4
239,Electronics,2
239,Fashion,1
240,Beauty,1
240,Books,2
241,Books,2
243,Beauty,3
244,Sports,1
246,Books,1
246,Home & Kitchen,1
246,Sports,1
247,Electronics,1
248,Beauty,2
248,Toys,1
250,Books,3
250,Fashion,1
250,Home & Kitchen,2
250,Sports,1
251,Electronics,1
251,Toys,1
253,Beauty,1
253,Books,2
253,Fashion,1
253,Sports,4
253,Toys,1
254,Beauty,3
254,Books,8
254,Sports,1
254,Toys,2
255,Books,2
255,Fashion,1
255,Toys,1
256,Home & Kitchen,1
257,Beauty,2
257,Electronics,1
257,Fashion,1
257,Toys,1
258,Books,1
258,Toys,1
259,Home & Kitchen,1
261,Books,1
261,Sports,4
262,Fashion,4
262,Toys,3
263,Beauty,1
263,Sports,1
263,Toys,1
